obj|statement|label|book|page
27ce2883-5029-43b5-bc17-f51d236311f3|e1f70788-a3b9-40ec-9039-c5091d18f6f8|Atlante VIII A1b|Atlante (1981)|p. 194
1358c742-585b-40dc-92e4-ccd65c1aeef0|d1f8494d-cc34-428e-a303-7b750b9b7694|Atlante VIII A2a|Atlante (1981)|p. 194
2d986f4e-77e9-43a9-9cca-28564978c7d4|d1f8494d-cc34-428e-a303-7b750b9b7694|Atlante VIII A2a|Atlante (1981)|p. 194
0adaf0b2-b332-48e6-bc24-4869b97cddd2|2d8907ac-2ce5-4090-afbb-09b4b3986c06|Atlante X A1a|Atlante (1981)|p. 200
0d0bb3b4-24dd-4952-9f6d-40a45f79ad99|2d8907ac-2ce5-4090-afbb-09b4b3986c06|Atlante X A1a|Atlante (1981)|p. 200
25b40190-bc1f-4848-b1dc-6117f52beb19|2d8907ac-2ce5-4090-afbb-09b4b3986c06|Atlante X A1a|Atlante (1981)|p. 200
48ea1d18-6f68-4722-911c-39b91f7a4dc8|2d8907ac-2ce5-4090-afbb-09b4b3986c06|Atlante X A1a|Atlante (1981)|p. 200
628d4a12-c65f-4a1d-b750-0721fe17d8a6|2d8907ac-2ce5-4090-afbb-09b4b3986c06|Atlante X A1a|Atlante (1981)|p. 200
6a010361-1564-4b97-98df-249e5ab8bc26|2d8907ac-2ce5-4090-afbb-09b4b3986c06|Atlante X A1a|Atlante (1981)|p. 200
79ae1a7a-5fcc-4a8b-a1d7-1337e2d89783|2d8907ac-2ce5-4090-afbb-09b4b3986c06|Atlante X A1a|Atlante (1981)|p. 200
88e6c61b-637c-4d9d-91a6-8c55f08b02dd|2d8907ac-2ce5-4090-afbb-09b4b3986c06|Atlante X A1a|Atlante (1981)|p. 200
8eaf5eb2-dca6-4937-a1a7-d8aaf108e0a5|2d8907ac-2ce5-4090-afbb-09b4b3986c06|Atlante X A1a|Atlante (1981)|p. 200
ae4dbf14-8923-4b78-9596-d36db460dcba|2d8907ac-2ce5-4090-afbb-09b4b3986c06|Atlante X A1a|Atlante (1981)|p. 200
c078b794-e522-4d7c-8195-b9ceca44943a|2d8907ac-2ce5-4090-afbb-09b4b3986c06|Atlante X A1a|Atlante (1981)|p. 200
cfdc258d-f2c8-4869-adeb-7e247c0207fa|2d8907ac-2ce5-4090-afbb-09b4b3986c06|Atlante X A1a|Atlante (1981)|p. 200
eb4c5d03-04d5-401d-b9dc-79e615dea6a4|2d8907ac-2ce5-4090-afbb-09b4b3986c06|Atlante X A1a|Atlante (1981)|p. 200
f36c6669-a657-4094-b89a-c6f435fad703|2d8907ac-2ce5-4090-afbb-09b4b3986c06|Atlante X A1a|Atlante (1981)|p. 200
fa8a6032-f9a6-4b5a-bbb8-02c6427b08b5|2d8907ac-2ce5-4090-afbb-09b4b3986c06|Atlante X A1a|Atlante (1981)|p. 200
7e5ebdd5-77e1-444f-a6fc-75fc01f6e717|ea77afcb-b013-4b9d-8dab-14d30b511adb|Atlante X A1b|Atlante (1981)|p. 200
a1844e9d-0868-482e-bdcb-ff19ebb10ac4|aa88339c-da85-47aa-af08-fe6dd093e468|Atlante X A1c|Atlante (1981)|p. 200
0ece00eb-7af9-494a-bd22-f8d8c1d98c2c|fbfa4b8d-1ef3-4d7b-b6a4-fc86fc6e721a|Atlante X B1a|Atlante (1981)|p. 200
888d0c6b-dfdc-4ee7-a0b7-51958bdbd5f9|9db8aeba-e99c-4f7d-9145-011ef086c5e3|Hayes 1|Hayes (1972)|p. 18-19
32f176e7-2baa-4801-87f6-bf62e37b1458|debeac24-ebc3-430d-9317-0b508e83f15c|Hayes 104|Hayes (1972)|p.160-166
a80bcdd8-b981-4c63-9fe9-38edae04e550|debeac24-ebc3-430d-9317-0b508e83f15c|Hayes 104|Hayes (1972)|p.160-166
c436b4e5-bd6d-4216-84c6-a114f6700b57|debeac24-ebc3-430d-9317-0b508e83f15c|Hayes 104|Hayes (1972)|p.160-166
620cdbe4-f845-47d6-a24f-542923af9b5b|46a90c86-23e3-4ea8-abb0-11acefbfd35e|Hayes 172|Hayes (1972)|p. 195-197
933b6a2b-c1c8-44b5-bf74-83a6c30d4483|6ffc57d6-f6a2-417a-b4e1-4683c0c4723e|Hayes 174 |Hayes (1972)|p. 197-198
69dbb49e-6205-45bc-8035-bce4e316bbcd|ded050c0-a1cb-4ef6-bac4-e722ae4d1000|Hayes 48B|Hayes (1972)|p. 65-67
c9d7e676-b306-4733-9548-5efc05e16337|ded050c0-a1cb-4ef6-bac4-e722ae4d1000|Hayes 48B|Hayes (1972)|p. 65-67
f30fed53-deae-4b10-a69c-5eebd6f87c7c|ded050c0-a1cb-4ef6-bac4-e722ae4d1000|Hayes 48B|Hayes (1972)|p. 65-67
1fa4014c-4e32-478c-8aa1-6632253f6fff|c30c01b2-9c7e-45ec-833b-f734e1000017|Hayes 51|Hayes (1972)|p.73-75
548cfc14-0407-46ba-98f6-bbb2cc044868|c30c01b2-9c7e-45ec-833b-f734e1000017|Hayes 51|Hayes (1972)|p.73-75
181da2ee-0e13-4abd-9dc0-c0703607a7fa|c0346f71-8ef7-4dab-a4a8-1e222e1ff17a|Hayes 51B|Hayes (1972)|p. 73-75
6b5c47ad-82d9-4e20-a2f1-57b357a1df22|c30c01b2-9c7e-45ec-833b-f734e1000015|Hayes 52B|Hayes (1972)|p.76-78
aebe3f9b-6896-4c03-b451-d4ca73aa8ad0|c30c01b2-9c7e-45ec-833b-f734e1000015|Hayes 52B|Hayes (1972)|p.76-78
c833a181-6d1d-49be-8cb9-7b87c3f0f0b1|c30c01b2-9c7e-45ec-833b-f734e1000015|Hayes 52B|Hayes (1972)|p.76-78
d077c359-f8f5-4034-8dc6-acabd5fbc2a1|c30c01b2-9c7e-45ec-833b-f734e1000015|Hayes 52B|Hayes (1972)|p.76-78
005a6925-ca3d-4201-92a8-23b702bb2653|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
02698c6e-89d2-4894-9313-3afc3cb6f3a4|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
03669313-ca27-4918-ab2d-6bd0d68d44f1|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
03f836b3-2e11-410a-8053-8e1de8f73fbd|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
04711d52-f425-4c54-9a20-68a272ab2ba3|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
0601716d-b685-4b45-ad2b-3224fc5fc569|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
09114937-85ef-4bf5-bca0-351696030cd2|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
0d6418cb-0e20-4dbb-b2f1-2fd1747f7254|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
0e4e84fd-1d0b-4389-a89d-2e5403699a65|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
10e6f99f-172d-47ba-aa3b-4ff348def88c|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
15eb9dfe-5bce-466e-83ef-7e118a0e363e|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
19d3a1c0-e765-44e4-aba9-ec3fa665d3a1|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
1a212bd2-66f6-41f3-871f-0a33de751576|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
1bbbb26b-04f5-48e9-8a14-57e3991bc711|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
211865dd-e890-4f53-928c-4c9176b4633f|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
22652cb5-dc43-4fe7-af35-b9c6f45930aa|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
234a736a-666f-4a3e-98d8-964bcf8f07f9|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
235d893f-d8ed-41cc-a7d2-786393a09c5f|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
24225437-d773-4211-90d4-ba8513d2569b|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
29282a82-c498-4ec7-ab07-94846a9f84ac|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
2c81898a-647b-4527-a3ba-544e918460ca|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
2f9af441-bf78-4e2b-b932-7b8f331c305d|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
31b839fa-c20e-4ef1-853c-21ef53a66acd|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
32c184aa-8812-48a9-bd19-bed6a38348b0|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
336480d0-010d-4859-9423-2764f0d0f862|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
347849cd-9e37-495e-ac91-3672f982829a|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
350d59bb-4fab-4dad-be2f-af33c4053b8d|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
387b9391-715e-4869-85ec-936812adfe3e|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
3971ecb2-0c7f-4dcf-a5d9-dc85d4ed8a8e|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
3ed16482-392d-4516-ab12-4e55c70906c9|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
400da0ee-b024-47b6-923f-b0dcddcbbc75|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
42cbfae4-7957-421f-af01-a734227c3349|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
433e8d5c-852b-478e-aea7-a95f113d80ce|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
456117d8-276b-4ceb-94ce-cc8c955a215f|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
47722385-a425-4ab9-a6e6-4929082ca0db|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
47def21b-ca45-4dbd-9eac-899956149b1d|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
481e3d80-cc7e-4f3b-91fc-2f7543954eca|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
498c23c1-bc6a-4ca6-80a5-41d56e4dd6eb|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
4b3b8593-d091-4b32-91e6-516c9a6f8dee|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
4c6d23ed-691e-4a18-af2a-5c88041f3f29|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
4dc14582-fb7f-4d5e-a14d-79271ee733a3|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
4ee6e5e0-a831-4859-906f-1976ad72dbd9|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
50f6facb-1e55-4cd0-b157-810f4ba9b8df|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
53b8183d-c264-45f9-846e-345694e3ad50|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
554ce8ce-fa32-4cb1-8466-3150d0e9ab32|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
55d1f7b3-32da-486f-8ca2-f4f9a1c958c5|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
56c36ba1-9914-4b1b-af70-ac41eef89614|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
57052b95-ca87-4d40-b59c-7c4128f78b23|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
595257bc-f279-49d0-bd69-9fbca4d63dab|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
5c807488-74f9-44ad-91c6-6a63c09f7c13|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
605c9e73-0a35-4f22-b164-539fe1a611d7|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
6174e215-2419-4b5b-8238-34a60dc9be24|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
621caf8c-29a5-43f7-9619-b6848a33edf1|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
6436c5eb-4e56-4932-bf74-0a8f29732beb|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
64c2cb47-bbfc-44c4-9108-3dd6859150f0|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
6532867f-138f-4007-8dbf-2e8b3bdb2415|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
657031c9-ed56-4fc9-8976-595567fdcebe|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
69d9726e-b3fb-4420-9623-0e654bea07c7|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
6a333d42-f63e-42a5-b569-48473ddb92d4|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
6a881b21-9361-4adb-aac1-5a35f3d31e50|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
6b46eb63-a258-4076-963f-49b2d0a8530f|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
6ba4ab65-07fb-4ec5-bc66-dc9646afd17e|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
6c1486fd-19ab-4b16-9c68-45f720772680|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
6e7ed584-db00-4e8d-8652-54931f4ce804|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
6ea50e3c-bc0a-494e-ab44-5b5a0451ae37|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
6f5e3fb8-226d-464b-891b-4e15411c0d24|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
70f2a29f-91ee-408b-805b-23e02c5bf981|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
711fa231-3bf1-4be0-83a7-23ea30138424|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
722bc351-bf41-4d1f-a03e-64a0c576a4a8|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
753cfb6d-5d45-4e35-852e-e58579a57412|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
78047d0d-07f8-495c-9827-50998ca11300|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
7f7e2b5c-de75-429e-893c-beec0bdb7ca4|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
7f8153b1-3574-43b6-ad0c-7a0dff121a76|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
8332c162-43a7-4d3e-8376-2496e0967fe5|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
84fdef8d-8c45-40bf-93c9-7a1fd2cb6f22|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
85ecb9a4-0aeb-4b88-9bbf-3f0bd5f5caf3|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
8676222f-2320-4167-b279-21f167c91b25|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
